surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
b'no',b'adult',37.9,40,24,b'normal',b'normal',b'normal pink',b'<3',b'depressed',b'hypomotile',b'none',b'?',b'?',,b'?',b'firm feces in large intestine',40,5.7,b'?',,b'lived',b'yes'
b'yes',b'adult',,100,,b'cool',b'?',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'?',b'slight',b'?',,b'increased',b'?',59,6.3,b'?',,b'died',b'yes'
b'yes',b'young',38.1,136,48,b'cool',b'reduced',b'pale pink',b'<3',b'continuous severe pain',b'hypermotile',b'moderate',b'slight',b'>1l',4.4,b'increased',b'?',33,4.9,b'cloudy',2.9,b'died',b'yes'
b'yes',b'adult',,,,b'cool',b'reduced',b'pale pink',b'>=3',b'continuous severe pain',b'hypomotile',b'moderate',b'significant',b'>1l',,b'absent',b'distended large intestine',46,5.9,b'?',,b'died',b'yes'
b'yes',b'adult',38,48,,b'normal',b'normal',b'normal pink',b'<3',b'alert no pain',b'normal',b'severe',b'slight',b'>1l',,b'absent',b'distended large intestine',,,b'?',,b'lived',b'yes'
b'no',b'adult',38,56,,b'normal',b'increased',b'pale pink',b'<3',b'alert no pain',b'hypermotile',b'none',b'none',b'none',,b'normal',b'normal',42,71,b'?',,b'lived',b'no'
b'no',b'adult',38,60,32,b'normal',b'normal',b'?',b'<3',b'intermittent mild pain',b'hypomotile',b'?',b'none',b'none',,b'?',b'?',50,7,b'clear',1,b'lived',b'no'
b'yes',b'adult',38.1,44,9,b'cool',b'normal',b'normal pink',b'<3',b'depressed',b'normal',b'none',b'none',b'none',,b'absent',b'distended large intestine',31,7.3,b'?',,b'lived',b'no'
b'no',b'adult',36,42,30,b'?',b'?',b'bright red',b'<3',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',64,6.8,b'?',,b'died',b'no'
b'yes',b'adult',,120,,b'cold',b'reduced',b'dark cyanotic',b'>=3',b'continuous severe pain',b'absent',b'severe',b'?',b'?',,b'absent',b'distended large intestine',57,4.5,b'serosanguinous',3.9,b'died',b'yes'
b'yes',b'adult',37.8,48,28,b'normal',b'normal',b'normal pink',b'>=3',b'alert no pain',b'normal',b'none',b'slight',b'?',,b'normal',b'normal',46,5.9,b'cloudy',7,b'lived',b'no'
b'yes',b'adult',37.1,84,40,b'cool',b'reduced',b'dark cyanotic',b'<3',b'depressed',b'absent',b'severe',b'significant',b'>1l',2,b'absent',b'distended large intestine',75,81,b'?',,b'euthanized',b'no'
b'no',b'adult',,80,32,b'cool',b'reduced',b'bright pink',b'<3',b'depressed',b'hypomotile',b'moderate',b'slight',b'none',,b'decreased',b'?',50,80,b'?',,b'lived',b'yes'
b'yes',b'adult',38.2,48,,b'normal',b'reduced',b'pale pink',b'<3',b'intermittent mild pain',b'absent',b'severe',b'none',b'<1l',2,b'absent',b'distended large intestine',42,71,b'?',,b'lived',b'yes'
b'no',b'adult',38,44,12,b'warm',b'normal',b'pale pink',b'<3',b'intermittent mild pain',b'absent',b'moderate',b'none',b'>1l',6.5,b'normal',b'distended small intestine',33,6.5,b'?',,b'died',b'yes'
b'yes',b'adult',38.3,132,,b'?',b'reduced',b'dark cyanotic',b'>=3',b'depressed',b'absent',b'slight',b'slight',b'<1l',6.2,b'absent',b'distended small intestine',57,8,b'?',5.2,b'lived',b'yes'
b'no',b'adult',38.7,48,24,b'?',b'?',b'?',b'?',b'alert no pain',b'hypermotile',b'?',b'none',b'none',,b'normal',b'?',34,63,b'?',,b'lived',b'no'
b'no',b'adult',38.9,44,14,b'cool',b'normal',b'normal pink',b'<3',b'depressed',b'hypomotile',b'slight',b'?',b'?',,b'?',b'other',33,64,b'?',,b'lived',b'no'
b'yes',b'adult',39.3,,,b'cold',b'reduced',b'dark cyanotic',b'>=3',b'intermittent severe pain',b'absent',b'slight',b'none',b'<1l',4,b'absent',b'distended small intestine',75,,b'serosanguinous',4.3,b'died',b'yes'
b'yes',b'adult',,100,,b'cool',b'reduced',b'pale cyanotic',b'>=3',b'?',b'absent',b'severe',b'slight',b'none',2,b'?',b'?',68,64,b'serosanguinous',2,b'lived',b'yes'
b'no',b'adult',38.6,48,20,b'cool',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypomotile',b'slight',b'slight',b'none',,b'decreased',b'other',50,7.3,b'clear',,b'lived',b'no'
b'no',b'adult',38.8,48,40,b'normal',b'normal',b'pale pink',b'<3',b'intermittent mild pain',b'hypomotile',b'severe',b'slight',b'?',,b'?',b'distended large intestine',41,65,b'?',,b'lived',b'yes'
b'no',b'adult',38,48,20,b'cool',b'reduced',b'pale cyanotic',b'<3',b'alert no pain',b'absent',b'slight',b'slight',b'?',5,b'?',b'other',49,8.3,b'clear',,b'lived',b'no'
b'no',b'adult',38.6,52,20,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'none',b'none',,b'normal',b'firm feces in large intestine',36,6.6,b'clear',5,b'lived',b'no'
b'yes',b'adult',37.8,60,24,b'normal',b'?',b'pale pink',b'>=3',b'?',b'absent',b'severe',b'slight',b'<1l',2,b'?',b'distended large intestine',52,75,b'?',,b'euthanized',b'yes'
b'no',b'adult',38,42,40,b'cool',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'none',b'?',b'?',,b'?',b'?',,,b'?',,b'lived',b'no'
b'no',b'adult',,,12,b'normal',b'normal',b'bright pink',b'<3',b'depressed',b'hypermotile',b'slight',b'significant',b'none',,b'normal',b'firm feces in large intestine',44,7.5,b'cloudy',,b'lived',b'no'
b'yes',b'adult',,,,b'?',b'?',b'?',b'?',b'intermittent severe pain',b'?',b'?',b'none',b'none',,b'?',b'distended large intestine',35,58,b'cloudy',1,b'lived',b'yes'
b'yes',b'adult',38.3,42,24,b'?',b'?',b'?',b'<3',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',40,8.5,b'?',,b'died',b'yes'
b'no',b'adult',39.5,60,10,b'cool',b'?',b'?',b'>=3',b'intermittent mild pain',b'hypomotile',b'slight',b'slight',b'none',,b'decreased',b'?',38,56,b'clear',,b'lived',b'no'
b'yes',b'adult',38,66,20,b'normal',b'reduced',b'pale pink',b'<3',b'continuous severe pain',b'hypomotile',b'none',b'none',b'none',,b'decreased',b'?',46,46,b'serosanguinous',2,b'euthanized',b'yes'
b'yes',b'adult',38.7,76,,b'normal',b'normal',b'bright red',b'>=3',b'intermittent mild pain',b'hypomotile',b'slight',b'slight',b'>1l',,b'absent',b'distended small intestine',50,8,b'?',,b'lived',b'yes'
b'yes',b'adult',39.4,120,48,b'?',b'?',b'bright red',b'<3',b'?',b'hypomotile',b'moderate',b'none',b'?',,b'absent',b'?',56,64,b'clear',2,b'euthanized',b'no'
b'yes',b'adult',38.3,40,18,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypermotile',b'none',b'?',b'?',,b'increased',b'normal',43,5.9,b'clear',,b'lived',b'no'
b'no',b'adult',,44,24,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'none',b'slight',b'none',,b'?',b'normal',,6.3,b'?',,b'lived',b'no'
b'yes',b'adult',38.4,104,40,b'normal',b'normal',b'pale pink',b'<3',b'depressed',b'absent',b'slight',b'slight',b'<1l',6.5,b'?',b'distended small intestine',55,8.5,b'?',,b'lived',b'yes'
b'yes',b'adult',,65,24,b'?',b'?',b'?',b'>=3',b'continuous severe pain',b'?',b'severe',b'significant',b'none',,b'?',b'distended large intestine',,,b'?',,b'euthanized',b'yes'
b'no',b'adult',37.5,44,20,b'normal',b'normal',b'pale pink',b'<3',b'?',b'hypermotile',b'none',b'?',b'?',,b'normal',b'?',35,7.2,b'?',,b'lived',b'no'
b'no',b'adult',39,86,16,b'cool',b'reduced',b'bright red',b'?',b'intermittent mild pain',b'hypomotile',b'moderate',b'?',b'>1l',,b'?',b'?',68,5.8,b'serosanguinous',6,b'died',b'yes'
b'yes',b'adult',38.5,129,48,b'cool',b'reduced',b'pale pink',b'<3',b'depressed',b'absent',b'moderate',b'none',b'<1l',2,b'?',b'?',57,66,b'serosanguinous',2,b'lived',b'yes'
b'yes',b'adult',,104,,b'cool',b'reduced',b'bright red',b'>=3',b'depressed',b'absent',b'moderate',b'?',b'<1l',,b'absent',b'distended small intestine',69,8.6,b'cloudy',3.4,b'died',b'yes'
b'no',b'adult',,,,b'cool',b'absent',b'dark cyanotic',b'?',b'intermittent severe pain',b'?',b'severe',b'?',b'?',,b'?',b'?',,,b'?',,b'died',b'yes'
b'yes',b'adult',,,,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',,,b'?',,b'lived',b'yes'
b'yes',b'adult',38.2,60,30,b'normal',b'normal',b'pale pink',b'<3',b'intermittent mild pain',b'hypomotile',b'none',b'slight',b'none',,b'decreased',b'other',48,66,b'?',,b'lived',b'yes'
b'yes',b'adult',,68,14,b'?',b'?',b'pale cyanotic',b'<3',b'intermittent severe pain',b'?',b'?',b'?',b'none',4.3,b'?',b'?',,,b'cloudy',2.8,b'died',b'yes'
b'yes',b'adult',,60,30,b'cool',b'reduced',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'severe',b'none',b'none',,b'absent',b'?',45,70,b'serosanguinous',2,b'lived',b'yes'
b'no',b'adult',38.5,100,,b'cool',b'reduced',b'bright red',b'>=3',b'intermittent severe pain',b'hypomotile',b'severe',b'slight',b'none',,b'absent',b'distended large intestine',,,b'?',,b'euthanized',b'no'
b'yes',b'adult',38.4,84,30,b'cool',b'normal',b'bright red',b'>=3',b'intermittent severe pain',b'hypomotile',b'moderate',b'slight',b'<1l',6.5,b'absent',b'distended small intestine',47,7.5,b'serosanguinous',,b'died',b'yes'
b'no',b'adult',37.8,48,14,b'?',b'?',b'normal pink',b'<3',b'intermittent mild pain',b'?',b'slight',b'none',b'<1l',5.3,b'normal',b'?',35,7.5,b'?',,b'lived',b'no'
b'yes',b'adult',38,,24,b'cool',b'reduced',b'dark cyanotic',b'>=3',b'continuous severe pain',b'?',b'severe',b'none',b'none',,b'?',b'?',68,7.8,b'?',,b'died',b'yes'
b'no',b'adult',37.8,56,16,b'normal',b'normal',b'bright pink',b'<3',b'depressed',b'hypermotile',b'none',b'slight',b'none',,b'normal',b'?',44,68,b'clear',1,b'lived',b'no'
b'no',b'adult',38.2,68,32,b'warm',b'increased',b'bright pink',b'<3',b'alert no pain',b'hypermotile',b'none',b'significant',b'none',,b'normal',b'normal',43,65,b'?',,b'lived',b'no'
b'yes',b'adult',38.5,120,60,b'cold',b'reduced',b'dark cyanotic',b'>=3',b'?',b'hypomotile',b'?',b'?',b'?',,b'?',b'?',54,,b'?',,b'lived',b'yes'
b'yes',b'adult',39.3,64,90,b'warm',b'reduced',b'normal pink',b'<3',b'?',b'hypomotile',b'none',b'none',b'>1l',,b'?',b'?',39,6.7,b'?',,b'lived',b'yes'
b'yes',b'adult',38.4,80,30,b'cold',b'reduced',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'moderate',b'significant',b'<1l',,b'absent',b'distended large intestine',32,6.1,b'serosanguinous',4.3,b'lived',b'yes'
b'yes',b'adult',38.5,60,,b'normal',b'normal',b'?',b'<3',b'?',b'hypermotile',b'none',b'?',b'?',,b'?',b'?',33,53,b'clear',,b'lived',b'yes'
b'yes',b'adult',38.3,60,16,b'cool',b'normal',b'normal pink',b'<3',b'depressed',b'hypermotile',b'none',b'slight',b'>1l',3,b'normal',b'distended small intestine',30,6,b'clear',3,b'lived',b'yes'
b'yes',b'adult',37.1,40,8,b'?',b'normal',b'pale cyanotic',b'<3',b'intermittent mild pain',b'hypomotile',b'none',b'none',b'none',,b'decreased',b'firm feces in large intestine',23,6.7,b'serosanguinous',,b'lived',b'yes'
b'no',b'young',,100,44,b'warm',b'normal',b'normal pink',b'<3',b'intermittent severe pain',b'hypermotile',b'none',b'?',b'?',,b'normal',b'?',37,4.7,b'?',,b'lived',b'no'
b'yes',b'adult',38.2,48,18,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'moderate',b'none',b'>1l',,b'absent',b'?',48,74,b'clear',2,b'lived',b'yes'
b'yes',b'adult',,60,48,b'cool',b'reduced',b'pale cyanotic',b'>=3',b'intermittent severe pain',b'hypomotile',b'severe',b'?',b'?',,b'?',b'?',58,7.6,b'?',,b'died',b'yes'
b'no',b'adult',37.9,88,24,b'normal',b'normal',b'bright pink',b'<3',b'depressed',b'normal',b'none',b'?',b'?',,b'absent',b'normal',37,56,b'?',,b'lived',b'no'
b'no',b'adult',38,44,12,b'cool',b'normal',b'normal pink',b'?',b'?',b'hypermotile',b'slight',b'?',b'?',,b'normal',b'?',42,64,b'?',,b'lived',b'no'
b'no',b'adult',38.5,60,20,b'normal',b'normal',b'bright red',b'>=3',b'depressed',b'normal',b'none',b'slight',b'none',,b'increased',b'firm feces in large intestine',63,7.5,b'cloudy',2.3,b'euthanized',b'no'
b'no',b'adult',38.5,96,36,b'cool',b'reduced',b'?',b'>=3',b'depressed',b'absent',b'slight',b'none',b'>1l',,b'absent',b'distended large intestine',70,8.5,b'?',,b'died',b'yes'
b'no',b'adult',38.3,60,20,b'normal',b'normal',b'normal pink',b'>=3',b'alert no pain',b'hypomotile',b'none',b'?',b'?',,b'decreased',b'?',34,66,b'?',,b'lived',b'no'
b'no',b'adult',38.5,60,40,b'cool',b'normal',b'bright pink',b'<3',b'depressed',b'hypermotile',b'slight',b'?',b'?',,b'decreased',b'other',49,59,b'?',,b'lived',b'no'
b'yes',b'adult',37.3,48,12,b'normal',b'?',b'pale pink',b'<3',b'intermittent mild pain',b'hypermotile',b'moderate',b'slight',b'none',,b'decreased',b'firm feces in large intestine',40,6.6,b'cloudy',,b'lived',b'yes'
b'yes',b'adult',38.5,86,,b'normal',b'normal',b'pale pink',b'<3',b'intermittent severe pain',b'absent',b'moderate',b'slight',b'none',,b'decreased',b'distended large intestine',45,7.4,b'clear',3.4,b'died',b'yes'
b'yes',b'adult',37.5,48,40,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'none',b'none',,b'?',b'distended large intestine',41,55,b'serosanguinous',2,b'euthanized',b'yes'
b'no',b'adult',37.2,36,9,b'normal',b'normal',b'normal pink',b'<3',b'depressed',b'hypomotile',b'none',b'slight',b'none',,b'absent',b'normal',35,5.7,b'?',,b'lived',b'no'
b'yes',b'adult',39.2,,23,b'cool',b'normal',b'pale pink',b'<3',b'intermittent severe pain',b'absent',b'slight',b'slight',b'?',,b'?',b'?',36,6.6,b'clear',3,b'lived',b'yes'
b'no',b'adult',38.5,100,,b'cool',b'reduced',b'bright red',b'>=3',b'intermittent severe pain',b'hypomotile',b'severe',b'slight',b'none',,b'absent',b'distended large intestine',,,b'?',,b'euthanized',b'no'
b'yes',b'adult',38.5,96,30,b'warm',b'reduced',b'pale cyanotic',b'>=3',b'intermittent severe pain',b'absent',b'moderate',b'slight',b'none',,b'decreased',b'distended large intestine',50,65,b'?',,b'lived',b'yes'
b'yes',b'adult',,,,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',45,8.7,b'?',,b'died',b'yes'
b'yes',b'adult',37.8,88,80,b'cool',b'reduced',b'bright red',b'>=3',b'?',b'hypomotile',b'moderate',b'slight',b'<1l',,b'absent',b'distended large intestine',64,89,b'?',,b'euthanized',b'yes'
b'no',b'adult',37.5,44,10,b'cool',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypermotile',b'slight',b'slight',b'?',,b'decreased',b'firm feces in large intestine',43,51,b'clear',1,b'lived',b'no'
b'yes',b'adult',37.9,68,20,b'?',b'normal',b'bright pink',b'<3',b'depressed',b'absent',b'slight',b'?',b'?',,b'normal',b'distended large intestine',45,4,b'serosanguinous',2.8,b'died',b'yes'
b'yes',b'adult',38,86,24,b'cold',b'reduced',b'pale cyanotic',b'<3',b'depressed',b'absent',b'severe',b'none',b'none',,b'absent',b'distended large intestine',45,5.5,b'clear',10.1,b'died',b'yes'
b'yes',b'young',38.9,120,30,b'normal',b'reduced',b'bright pink',b'>=3',b'intermittent mild pain',b'hypomotile',b'moderate',b'significant',b'none',3,b'?',b'?',47,6.3,b'clear',,b'lived',b'no'
b'yes',b'adult',37.6,45,12,b'cool',b'normal',b'pale pink',b'<3',b'?',b'normal',b'slight',b'slight',b'none',,b'normal',b'distended small intestine',39,7,b'cloudy',1.5,b'lived',b'yes'
b'no',b'adult',38.6,56,32,b'warm',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypermotile',b'none',b'slight',b'?',,b'increased',b'?',40,7,b'cloudy',2.1,b'lived',b'no'
b'yes',b'adult',37.8,40,12,b'normal',b'normal',b'normal pink',b'<3',b'alert no pain',b'normal',b'none',b'slight',b'none',,b'normal',b'other',38,7,b'?',,b'lived',b'yes'
b'no',b'adult',,,,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',,,b'?',,b'lived',b'no'
b'yes',b'adult',38,76,18,b'?',b'?',b'?',b'>=3',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',71,11,b'?',,b'lived',b'yes'
b'yes',b'adult',38.1,40,36,b'normal',b'increased',b'bright pink',b'<3',b'depressed',b'normal',b'?',b'?',b'?',,b'?',b'?',,,b'?',,b'euthanized',b'yes'
b'yes',b'adult',,52,28,b'cool',b'reduced',b'pale cyanotic',b'<3',b'intermittent mild pain',b'absent',b'moderate',b'slight',b'none',,b'absent',b'distended small intestine',37,8.1,b'?',,b'lived',b'yes'
b'yes',b'adult',39.2,88,58,b'cold',b'absent',b'?',b'>=3',b'continuous severe pain',b'absent',b'?',b'?',b'?',,b'?',b'?',,,b'cloudy',2,b'euthanized',b'no'
b'yes',b'adult',38.5,92,40,b'cold',b'reduced',b'?',b'<3',b'depressed',b'absent',b'moderate',b'?',b'?',,b'absent',b'?',46,67,b'cloudy',2,b'lived',b'yes'
b'yes',b'adult',,112,13,b'cold',b'absent',b'pale cyanotic',b'<3',b'depressed',b'hypomotile',b'none',b'slight',b'none',4.5,b'absent',b'distended small intestine',60,6.3,b'serosanguinous',,b'lived',b'yes'
b'yes',b'adult',37.7,66,12,b'normal',b'normal',b'pale pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'slight',b'?',,b'absent',b'distended small intestine',31.5,6.2,b'cloudy',1.6,b'lived',b'yes'
b'yes',b'adult',38.8,50,14,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypermotile',b'none',b'none',b'none',,b'decreased',b'distended large intestine',38,58,b'?',,b'lived',b'yes'
b'no',b'adult',38.4,54,24,b'normal',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypomotile',b'none',b'slight',b'none',,b'decreased',b'other',49,7.2,b'clear',8,b'lived',b'no'
b'yes',b'adult',39.2,120,20,b'cold',b'reduced',b'bright red',b'>=3',b'depressed',b'hypomotile',b'moderate',b'none',b'<1l',,b'?',b'distended small intestine',60,8.8,b'serosanguinous',,b'died',b'yes'
b'yes',b'young',,,,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',45,6.5,b'cloudy',,b'lived',b'yes'
b'yes',b'adult',37.3,90,40,b'cool',b'?',b'dark cyanotic',b'>=3',b'continuous severe pain',b'absent',b'moderate',b'slight',b'>1l',,b'normal',b'distended large intestine',65,50,b'serosanguinous',2,b'euthanized',b'yes'
b'yes',b'young',38.5,120,70,b'?',b'?',b'?',b'?',b'?',b'hypermotile',b'?',b'slight',b'?',,b'normal',b'?',35,54,b'clear',1,b'lived',b'yes'
b'yes',b'adult',38.5,104,40,b'cool',b'reduced',b'?',b'<3',b'intermittent severe pain',b'hypomotile',b'severe',b'?',b'?',,b'?',b'?',,,b'?',,b'lived',b'yes'
b'no',b'adult',39.5,92,28,b'cool',b'reduced',b'dark cyanotic',b'<3',b'continuous severe pain',b'absent',b'none',b'?',b'<1l',,b'absent',b'?',72,6.4,b'?',3.6,b'died',b'no'
b'yes',b'adult',38.5,30,18,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',40,7.7,b'?',,b'lived',b'yes'
b'yes',b'adult',38.3,72,30,b'cold',b'reduced',b'pale pink',b'>=3',b'intermittent mild pain',b'hypomotile',b'moderate',b'slight',b'none',,b'decreased',b'distended large intestine',43,7,b'cloudy',3.9,b'lived',b'yes'
b'no',b'adult',37.5,48,30,b'cold',b'normal',b'pale pink',b'<3',b'?',b'normal',b'none',b'none',b'none',,b'normal',b'normal',48,8.6,b'?',,b'lived',b'no'
b'yes',b'adult',38.1,52,24,b'normal',b'normal',b'bright red',b'<3',b'intermittent severe pain',b'hypomotile',b'none',b'slight',b'<1l',7,b'normal',b'?',54,7.5,b'cloudy',2.6,b'died',b'yes'
b'no',b'adult',38.2,42,26,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypermotile',b'slight',b'?',b'?',,b'normal',b'?',36,6.9,b'?',,b'lived',b'no'
b'no',b'adult',37.9,54,42,b'warm',b'normal',b'bright red',b'<3',b'intermittent mild pain',b'hypermotile',b'none',b'?',b'none',,b'?',b'other',47,54,b'serosanguinous',1,b'lived',b'no'
b'no',b'adult',36.1,88,,b'cool',b'reduced',b'pale pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'slight',b'<1l',,b'?',b'distended small intestine',45,7,b'serosanguinous',4.8,b'euthanized',b'yes'
b'yes',b'adult',38.1,70,22,b'?',b'normal',b'?',b'<3',b'continuous severe pain',b'hypomotile',b'?',b'?',b'?',,b'?',b'distended large intestine',36,65,b'?',,b'euthanized',b'yes'
b'yes',b'adult',38,90,30,b'cold',b'reduced',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'severe',b'?',b'?',,b'absent',b'distended large intestine',55,6.1,b'?',,b'died',b'yes'
b'yes',b'adult',38.2,52,16,b'normal',b'normal',b'bright pink',b'<3',b'alert no pain',b'normal',b'none',b'none',b'none',,b'normal',b'?',43,8.1,b'?',,b'lived',b'no'
b'yes',b'adult',,36,32,b'normal',b'normal',b'pale cyanotic',b'<3',b'continuous severe pain',b'hypomotile',b'moderate',b'slight',b'<1l',4,b'?',b'distended small intestine',41,5.9,b'?',,b'died',b'yes'
b'yes',b'adult',38.4,92,20,b'normal',b'?',b'?',b'>=3',b'?',b'hypomotile',b'moderate',b'?',b'?',,b'normal',b'?',,,b'?',,b'lived',b'yes'
b'yes',b'young',38.2,124,88,b'normal',b'reduced',b'bright pink',b'<3',b'depressed',b'hypomotile',b'severe',b'?',b'?',,b'?',b'?',47,8,b'clear',,b'lived',b'yes'
b'no',b'adult',,96,,b'cool',b'reduced',b'pale pink',b'>=3',b'continuous severe pain',b'absent',b'severe',b'?',b'none',,b'absent',b'distended large intestine',60,,b'?',,b'died',b'yes'
b'yes',b'adult',37.6,68,32,b'cool',b'?',b'pale pink',b'<3',b'intermittent severe pain',b'normal',b'severe',b'slight',b'>1l',6.5,b'normal',b'distended large intestine',47,7.2,b'clear',,b'lived',b'yes'
b'yes',b'adult',38.1,88,24,b'cool',b'reduced',b'pale cyanotic',b'<3',b'continuous severe pain',b'absent',b'moderate',b'slight',b'none',,b'decreased',b'distended small intestine',41,4.6,b'?',,b'died',b'yes'
b'yes',b'adult',38,108,60,b'warm',b'reduced',b'pale cyanotic',b'<3',b'intermittent severe pain',b'hypomotile',b'moderate',b'slight',b'?',,b'decreased',b'distended small intestine',,,b'serosanguinous',,b'lived',b'yes'
b'no',b'adult',38.2,48,,b'warm',b'?',b'normal pink',b'>=3',b'intermittent mild pain',b'hypomotile',b'none',b'slight',b'none',,b'?',b'other',34,6.6,b'?',,b'lived',b'no'
b'yes',b'adult',39.3,100,51,b'cold',b'absent',b'dark cyanotic',b'<3',b'depressed',b'absent',b'none',b'none',b'<1l',2,b'?',b'distended small intestine',66,13,b'serosanguinous',2,b'euthanized',b'yes'
b'no',b'adult',36.6,42,18,b'cool',b'reduced',b'bright pink',b'<3',b'alert no pain',b'absent',b'none',b'none',b'none',,b'?',b'distended large intestine',52,7.1,b'?',,b'died',b'yes'
b'yes',b'young',38.8,124,36,b'cool',b'normal',b'bright pink',b'<3',b'depressed',b'hypomotile',b'severe',b'none',b'none',,b'absent',b'distended small intestine',50,7.6,b'serosanguinous',,b'died',b'yes'
b'no',b'adult',,112,24,b'cool',b'reduced',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'slight',b'?',b'?',,b'absent',b'?',40,5.3,b'serosanguinous',2.6,b'lived',b'no'
b'yes',b'adult',,80,,b'cool',b'reduced',b'pale pink',b'<3',b'intermittent severe pain',b'absent',b'severe',b'?',b'?',,b'absent',b'distended large intestine',43,70,b'?',,b'lived',b'yes'
b'yes',b'young',38.8,184,84,b'normal',b'?',b'normal pink',b'<3',b'intermittent severe pain',b'hypermotile',b'moderate',b'?',b'?',,b'increased',b'?',33,3.3,b'?',,b'died',b'yes'
b'yes',b'adult',37.5,72,,b'warm',b'normal',b'normal pink',b'<3',b'depressed',b'hypermotile',b'none',b'none',b'none',,b'normal',b'?',35,65,b'cloudy',2,b'euthanized',b'yes'
b'yes',b'adult',38.7,96,28,b'cool',b'reduced',b'pale cyanotic',b'<3',b'?',b'absent',b'?',b'?',b'<1l',7.5,b'?',b'?',64,9,b'?',,b'died',b'yes'
b'no',b'adult',37.5,52,12,b'normal',b'normal',b'normal pink',b'<3',b'depressed',b'hypomotile',b'slight',b'slight',b'none',,b'decreased',b'distended large intestine',36,61,b'clear',1,b'lived',b'no'
b'yes',b'adult',40.8,72,42,b'cool',b'reduced',b'normal pink',b'<3',b'depressed',b'hypomotile',b'none',b'slight',b'none',,b'?',b'?',54,7.4,b'serosanguinous',,b'died',b'yes'
b'no',b'adult',38,40,25,b'?',b'normal',b'normal pink',b'<3',b'intermittent severe pain',b'hypomotile',b'slight',b'none',b'none',,b'absent',b'?',37,69,b'?',,b'lived',b'no'
b'no',b'adult',38.4,48,16,b'warm',b'normal',b'normal pink',b'<3',b'alert no pain',b'?',b'slight',b'slight',b'none',,b'?',b'other',39,6.5,b'?',,b'lived',b'no'
b'no',b'young',38.6,88,28,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',35,5.9,b'?',,b'lived',b'no'
b'yes',b'adult',37.1,75,36,b'?',b'?',b'pale pink',b'>=3',b'intermittent severe pain',b'absent',b'slight',b'slight',b'<1l',5,b'absent',b'distended small intestine',48,7.4,b'serosanguinous',3.2,b'died',b'yes'
b'yes',b'adult',38.3,44,21,b'cool',b'normal',b'bright pink',b'<3',b'intermittent mild pain',b'hypomotile',b'moderate',b'slight',b'none',,b'normal',b'distended large intestine',44,6.5,b'cloudy',4.4,b'lived',b'yes'
b'no',b'adult',,56,68,b'cool',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'none',b'slight',b'none',,b'normal',b'?',40,6,b'?',,b'euthanized',b'yes'
b'no',b'adult',38.6,68,20,b'warm',b'normal',b'pale pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'none',b'none',,b'normal',b'distended large intestine',38,6.5,b'clear',,b'lived',b'no'
b'no',b'adult',38.3,54,18,b'cool',b'normal',b'bright pink',b'<3',b'depressed',b'hypomotile',b'slight',b'?',b'<1l',5.4,b'?',b'distended small intestine',44,7.2,b'serosanguinous',,b'lived',b'no'
